city,unit,model,outcome,target,spec,beta,se,z,pct,lo,hi,n,se_ratio_vs_naive,note,se_ratio_vs_cluster,beta_shift_vs_cluster,pct_shift_vs_cluster,lambda_spatial
cincinnati-oh,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 500 m,0.009871359542462715,0.020926581031747545,0.4717139186514489,0.9920242125520895,-3.0664737965663824,5.2204469807828335,13381,4.4343405636916815,Bartlett kernel in distance; point estimate unchanged,0.8221640001824922,,,
cincinnati-oh,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 1000 m,0.009871359542462715,0.023988476760559648,0.4115042251741714,0.9920242125520895,-3.6464604002375722,5.853806688528307,13381,5.083155982295778,Bartlett kernel in distance; point estimate unchanged,0.942459830481897,,,
cincinnati-oh,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 2000 m,0.009871359542462715,0.02721393135954161,0.3627318453936524,0.9920242125520895,-4.253675579962424,6.525122675249184,13381,5.766629510193765,Bartlett kernel in distance; point estimate unchanged,1.0691815654601489,,,
cincinnati-oh,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 4000 m,0.009871359542462715,0.02570605989128454,0.3840090462797658,0.9920242125520895,-3.9702856414098875,6.210760103509005,13381,5.447111687077712,Bartlett kernel in distance; point estimate unchanged,1.009940276296739,,,
cincinnati-oh,cell,relative height (TPI 500 m),n_total,tpi_500_z,c. eigenvector spatial filter (50 EVs),0.005329200693609873,0.021074511330562862,0.25287422374920326,0.5343426142490504,-3.5337366649750512,4.773976885341935,13381,4.465686980177042,Moran eigenvectors as covariates; SEs still clustered,0.8279758891880435,-0.004542158848852842,-0.4576815983030391,
cincinnati-oh,cell,relative height (TPI 500 m),n_total,tpi_500_z,d. Gaussian SEM on log rate,-0.035108733909931994,0.00999823546174077,-3.5114930073690513,-3.449957208679466,-5.3235858492913675,-1.5392498054801695,13381,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,0.7682263257470419
cincinnati-oh,cell,theft (all loot classes),n_theft,slope_deg,0. naive (independence),-0.06515583878771243,0.001963141167769691,-33.18958404898383,-6.307855670200246,-6.6676675669948615,-5.946656637804281,13381,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
cincinnati-oh,cell,theft (all loot classes),n_theft,slope_deg,a. cluster-robust (primary),-0.06515583878771243,0.009257557634573955,-7.038124023595235,-6.307855670200246,-7.992551637248035,-4.592312195131177,13381,4.715686159794301,SEs clustered on block group,,,,
cincinnati-oh,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 500 m,-0.06515583878771243,0.008236410656704272,-7.91070789248189,-6.307855670200246,-7.808219102221614,-4.783074764015504,13381,4.195526430766868,Bartlett kernel in distance; point estimate unchanged,0.8896958551944594,,,
cincinnati-oh,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 1000 m,-0.06515583878771243,0.00910786009389356,-7.153803211294023,-6.307855670200246,-7.9655520305639165,-4.6203013894188345,13381,4.639432071123508,Bartlett kernel in distance; point estimate unchanged,0.9838296939009784,,,
cincinnati-oh,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 2000 m,-0.06515583878771243,0.009531105666497992,-6.836125950920509,-6.307855670200246,-8.041868589909495,-4.54114525262308,13381,4.855028167600501,Bartlett kernel in distance; point estimate unchanged,1.0295486177587947,,,
cincinnati-oh,cell,theft (all loot classes),n_theft,slope_deg,b. Conley HAC 4000 m,-0.06515583878771243,0.00908648622777986,-7.170630885733729,-6.307855670200246,-7.9616963711435895,-4.6242970262239,13381,4.628544486234245,Bartlett kernel in distance; point estimate unchanged,0.9815208920595645,,,
cincinnati-oh,cell,theft (all loot classes),n_theft,slope_deg,c. eigenvector spatial filter (50 EVs),-0.05910882807775355,0.008826969723819956,-6.696389579568382,-5.739581822617779,-7.356342183114806,-4.094606750775465,13381,4.496349966440877,Moran eigenvectors as covariates; SEs still clustered,0.9534879578663498,0.006047010709958882,0.5682738475824678,
cincinnati-oh,cell,theft (all loot classes),n_theft,slope_deg,d. Gaussian SEM on log rate,-0.021549446163853014,0.0029190293010340107,-7.382401456614201,-2.131891575252365,-2.690225412484759,-1.5703541885808803,13381,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,0.7644619286267748
sfgov,cell,pooled per-degree slope,n_total,slope_deg,0. naive (independence),-0.07277839435673521,0.001192332872377808,-61.038654592821054,-7.019314235669172,-7.236353828258846,-6.801766834399103,7269,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
sfgov,cell,pooled per-degree slope,n_total,slope_deg,a. cluster-robust (primary),-0.07277839435673521,0.01062968135754923,-6.846714582375302,-7.019314235669172,-8.936449841603855,-5.061817706783989,7269,8.915028348040932,SEs clustered on block group,,,,
sfgov,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 500 m,-0.07277839435673521,0.010377192368107496,-7.013302999027656,-7.019314235669172,-8.891373303061979,-5.108788940885356,7269,8.703267861275013,Bartlett kernel in distance; point estimate unchanged,0.976246796028141,,,
sfgov,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 1000 m,-0.07277839435673521,0.01122161481866672,-6.485554488617019,-7.019314235669172,-9.042039560070837,-4.951607496576738,7269,9.411478185859318,Bartlett kernel in distance; point estimate unchanged,1.0556868490415376,,,
sfgov,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 2000 m,-0.07277839435673521,0.01149710083932001,-6.330151868185201,-7.019314235669172,-9.091139290388329,-4.900272011755991,7269,9.642526097927616,Bartlett kernel in distance; point estimate unchanged,1.0816035262576085,,,
sfgov,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 4000 m,-0.07277839435673521,0.012325230095482526,-5.90483048129139,-7.019314235669172,-9.238576805553667,-4.745787131572399,7269,10.33707145128269,Bartlett kernel in distance; point estimate unchanged,1.1595107775012572,,,
sfgov,cell,pooled per-degree slope,n_total,slope_deg,c. eigenvector spatial filter (50 EVs),-0.08287738347197074,0.010930519036418692,-7.582200186087863,-7.953599559869895,-9.904611146801766,-5.960338904913643,7269,9.167338492161608,Moran eigenvectors as covariates; SEs still clustered,1.0283016648147978,-0.010098989115235532,-0.9342853242007232,
sfgov,cell,pooled per-degree slope,n_total,slope_deg,d. Gaussian SEM on log rate,-0.05990457469978712,0.006387676451087537,-9.378147931958582,-5.814559396441954,-6.986395682001623,-4.627959676111393,7269,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,-0.6834104400624551
sfgov,cell,relative height (TPI 500 m),n_total,tpi_500_z,0. naive (independence),-0.0757787358069266,0.0040124336824855136,-18.885978387058408,-7.297869951141145,-8.024054568235927,-6.5659518338835765,7269,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
sfgov,cell,relative height (TPI 500 m),n_total,tpi_500_z,a. cluster-robust (primary),-0.0757787358069266,0.03048050006404361,-2.4861382079593617,-7.297869951141145,-12.673875302405735,-1.5909048368398904,7269,7.596511861888862,SEs clustered on block group,,,,
